Company,Country of Origin,Model,Number of cc,Horsepower,Torque,Transmission Type,Drivetrain,Number of Seating,Year,Looks,Body Type,Engine Type,Number of Cylinders,Price (SEK)
Aprilia,Italy,RS 660,659.0,100.0,67.0,Manual,Chain,2,2021,Sport,Naked/Street,Parallel-twin,2,120890.0
Aprilia,Italy,Tuono 660,659.0,100.0,67.0,Manual,Chain,2,2021,Sport,Naked/Street,Parallel-twin,2,131890.0
Aprilia,Italy,RS 125,124.9,15.0,12.0,Manual,Chain,2,2022,Sport,Sport,Single-cylinder,1,49390.0
Aprilia,Italy,Shiver 900,896.0,95.0,90.0,Manual,Shaft Drive,2,2022,Adventure,Naked/Street,V-twin,2,153890.0
Aprilia,Italy,Tuono 1100,1077.0,175.0,121.0,Manual,Shaft Drive,2,2022,Adventure,Naked/Street,V-twin,2,219890.0
Benelli,Italy,TNT 125,125.0,11.0,10.8,Manual,Chain,2,2023,Classic,Sport,Single-cylinder,1,13750.0
Benelli,Italy,TNT 250,250.0,27.0,21.2,Manual,Chain,2,2023,Sport,Sport,Single-cylinder,1,19250.0
Benelli,Italy,TNT 300,300.0,39.0,26.5,Manual,Chain,2,2023,Classic,Sport,Single-cylinder,1,22000.0
Benelli,Italy,TNT 600i,600.0,85.0,54.6,Manual,Chain,2,2023,Sport,Sport,Parallel-twin,2,44000.0
Benelli,Italy,TNT 899,899.0,116.0,86.3,Manual,Chain,2,2023,Sport,Sport,Inline-three,3,66000.0
Benelli,Italy,TRK 251,250.0,27.0,21.2,Manual,Chain,2,2023,Adventure,Adventure,Single-cylinder,1,24750.0
Benelli,Italy,TRK 502,500.0,47.0,46.0,Manual,Chain,2,2023,Adventure,Adventure,Parallel-twin,2,38500.0
Benelli,Italy,Leoncino 500,500.0,47.0,46.0,Manual,Chain,2,2023,Retro,Cruiser,Parallel-twin,2,35750.0
BMW,Germany,G 310 GS,313.0,34.0,28.0,Manual,Chain,2,2023,Adventure,Adventure,Single-cylinder,1,33000.0
BMW,Germany,G 310 R,313.0,34.0,28.0,Manual,Chain,2,2023,Sport,Naked/Street,Single-cylinder,1,27500.0
BMW,Germany,F 850 GS,853.0,95.0,92.0,Manual,Shaft Drive,2,2023,Adventure,Adventure,Parallel-twin,2,66000.0
BMW,Germany,F 850 GS Adventure,853.0,95.0,92.0,Manual,Shaft Drive,2,2023,Adventure,Adventure,Parallel-twin,2,88000.0
BMW,Germany,R 1250 GS,1170.0,136.0,112.0,Manual,Shaft Drive,2,2023,Adventure,Adventure,Boxer,2,132000.0
BMW,Germany,R 1250 RT,1170.0,136.0,112.0,Manual,Shaft Drive,2,2023,Adventure,Cruiser,Boxer,2,154000.0
BMW,Germany,S 1000 RR,999.0,199.0,113.0,Manual,Chain,2,2023,Sport,Sport,Other,4,176000.0
BMW,Germany,S 1000 R,999.0,165.0,112.0,Manual,Chain,2,2023,Sport,Naked/Street,Other,4,132000.0
Brixton Motorcycles,Austria,Cromwell 125,125.0,11.7,11.9,Manual,Chain,1,2022,Classic,Cafe Racer,"Single-cylinder",1,16500.0
Brixton Motorcycles,Austria,BX 150,149.0,11.7,11.9,Manual,Chain,2,2022,Classic,Cruiser,"Single-cylinder",1,13750.0
Brixton Motorcycles,Austria,Crossfire 500,500.0,41.0,38.0,Manual,Chain,2,2022,Adventure,Scrambler,"Other",1,38500.0
Brixton Motorcycles,Austria,Crossfire 500 X,500.0,41.0,38.0,Manual,Chain,2,2022,Adventure,Cafe Racer,"Other",1,41250.0
Brixton Motorcycles,Austria,Sunray 500,500.0,41.0,38.0,Manual,Chain,2,2022,Classic,Cruiser,"Other",1,44000.0
Buell Motorcycle Company,USA,Blast,492.0,45.0,37.0,Manual,Chain,1,2005,Classic,Naked/Street,"Other",1,49500.0
Buell Motorcycle Company,USA,Lightning,984.0,110.0,97.0,Manual,Belt,1,2003,Sport,Sport,"Other",2,110000.0
Buell Motorcycle Company,USA,Ulysses,1125.0,96.0,98.0,Manual,Belt,2,2006,Adventure,Adventure,"Other",2,143000.0
Buell Motorcycle Company,USA,XB9R Firebolt,984.0,110.0,97.0,Manual,Chain,1,2003,Sport,Naked/Street,"Other",2,121000.0
Buell Motorcycle Company,USA,XB12S Lightning,1201.0,105.0,103.0,Manual,Chain,1,2005,Sport,Sport,"Other",2,132000.0
Cagiva,Italy,Raptor 125,124.9,15.0,12.0,Manual,Chain,1,2005,Sport,Naked/Street,"Single-cylinder",1,16500.0
Cagiva,Italy,Mito 125,125.0,15.0,12.0,Manual,Chain,1,2002,Sport,Sport,"Single-cylinder",1,13750.0
Cagiva,Italy,Elefant 900,893.0,80.0,66.0,Manual,Chain,2,1994,Adventure,Adventure,"V-twin",2,88000.0
Cagiva,Italy,V-Raptor 1000,998.0,100.0,95.0,Manual,Chain,1,1998,Sport,Sport,"Other",2,110000.0
Cagiva,Italy,Gran Canyon 1100,1078.0,95.0,98.0,Manual,Chain,2,2000,Adventure,Adventure,"Other",2,121000.0
CCM,UK,Spitfire 650,650.0,65.0,54.0,Manual,Chain,1,2022,Classic,Naked/Street,"Parallel-twin",2,132000.0
CCM,UK,GP450R,450.0,60.0,40.0,Manual,Chain,1,2022,Sport,Enduro,"Other",1,110000.0
CCM,UK,Interceptor 900,900.0,86.0,77.0,Manual,Chain,2,2022,Adventure,Adventure,"Parallel-twin",2,165000.0
CCM,UK,Storm 1200,1200.0,115.0,105.0,Manual,Chain,2,2022,Adventure,Adventure,"Parallel-twin",2,220000.0
CFMOTO,China,300NK,292.4,33.99,21.5,Manual,Chain,1,2022,Classic,Naked/Street,Single-cylinder,1,25190.0
CFMOTO,China,650NK,649.3,61.18,45.0,Manual,Chain,1,2022,Classic,Naked/Street,Parallel-twin,2,47190.0
